2026-04-18 08:29:39 | INFO     | digital_twin.app     |   ✅ Twin ready: COMPRESSOR_05
2026-04-18 08:29:39 | INFO     | digital_twin.app     | 📡 Starting sensor streams...
2026-04-18 08:29:39 | INFO     | digital_twin.app     | ============================================================
2026-04-18 08:29:39 | INFO     | digital_twin.app     | 🚀 System running on http://0.0.0.0:8000
2026-04-18 08:29:39 | INFO     | digital_twin.app     | 📊 Dashboard: http://0.0.0.0:8000/docs
2026-04-18 08:29:39 | INFO     | digital_twin.app     | ============================================================
2026-04-18 08:30:01 | INFO     | digital_twin.app     | 📡 WebSocket client connected: 93392c4b-29d2-4fc7-9e87-abe7e7384b9b
2026-04-18 08:37:03 | INFO     | digital_twin.app     | 📡 WebSocket client connected: edeecd6e-1a56-4dcb-919d-cf64338b6785
2026-04-18 08:40:08 | INFO     | digital_twin.app     | 📡 WebSocket client connected: a86c2170-a6be-40c8-bce5-9699821ed7f9
2026-04-18 09:17:49 | INFO     | digital_twin.app     | 📡 WebSocket client connected: 2c4d2006-dca9-4a9c-a4b8-f2df2f023f2f
2026-04-18 09:20:00 | INFO     | digital_twin.app     | 📡 WebSocket client connected: 4f461bb0-6b19-4962-a52e-20238f78ed5f
2026-04-18 09:38:40 | INFO     | digital_twin.app     | 📡 WebSocket client connected: 29d47652-a09b-4fef-9403-506c17511911
2026-04-18 09:39:31 | INFO     | digital_twin.app     | 📡 WebSocket client connected: 016f7f3a-15c4-464a-a11d-1994d805a129
2026-04-18 09:47:10 | INFO     | digital_twin.app     | 📡 WebSocket client connected: 7356a38f-4aef-4471-8f47-399de72d55f4
2026-04-18 09:56:05 | INFO     | digital_twin.app     | 📡 WebSocket client connected: 3b5bc4e3-69f4-455b-ae13-4c49fffc9b3d
2026-04-18 09:56:05 | INFO     | digital_twin.app     | 📡 WebSocket client connected: 8720c592-4f73-4304-8691-40bb8269263e
2026-04-18 10:08:05 | INFO     | digital_twin.app     | 📡 WebSocket client connected: fb2b010d-a31e-4f22-8c14-b91b494d0e4d
2026-04-18 10:08:05 | INFO     | digital_twin.app     | 📡 WebSocket client connected: 630b0ea8-ee24-4c5d-a055-845d1fa9af50
2026-04-18 10:11:24 | INFO     | digital_twin.app     | 🌐 Setting up CORS middleware...
